cid,eid1,eid2,eid3,xy
167,63,62,265,"[[31.636666666666997, 13.873333333333001], [31.846788665478, 13.472618759519], [31.91, 13.87], [31.636666666666997, 13.873333333333001]]"
168,266,267,268,"[[4.854955372307, 5.466094624261], [5.2813614196800005, 5.903305874489], [4.769069398162, 5.979504780671999], [4.854955372307, 5.466094624261]]"
169,37,182,38,"[[37.028814031426, 12.911619642311], [37.323874238238, 12.679424975827999], [37.3, 13.19], [37.028814031426, 12.911619642311]]"
170,62,242,265,"[[31.846788665478, 13.472618759519], [32.316666666667, 13.833333333333002], [31.91, 13.87], [31.846788665478, 13.472618759519]]"
171,137,128,127,"[[31.419786169935, 13.157807054119], [31.226845650216, 13.565117965946], [31.075651188695, 13.299672823627999], [31.419786169935, 13.157807054119]]"
172,37,172,269,"[[37.028814031426, 12.911619642311], [36.643949479833005, 12.846302741303], [36.939734350129, 12.518894949507999], [37.028814031426, 12.911619642311]]"
173,61,63,180,"[[31.508072270621, 13.564104864897999], [31.636666666666997, 13.873333333333001], [31.363333333333003, 13.876666666666999], [31.508072270621, 13.564104864897999]]"
174,118,157,270,"[[29.746666666667, 13.926666666666998], [29.91305293614, 13.484398960862999], [30.07, 13.91], [29.746666666667, 13.926666666666998]]"
175,106,271,272,"[[26.297500978499, 13.46721919559], [26.146842997520004, 13.784314924841], [25.933605735325, 13.422262415859999], [26.297500978499, 13.46721919559]]"
176,273,274,275,"[[20.653244687214, 13.861294435538001], [20.486666666667, 14.19], [20.298315644578, 13.688115055466001], [20.653244687214, 13.861294435538001]]"
177,261,276,277,"[[29.1, 13.96], [28.813333333333002, 13.973333333333], [28.947109845678, 13.626734921582], [29.1, 13.96]]"
178,271,278,73,"[[26.146842997520004, 13.784314924841], [26.34, 14.06], [26.0, 14.063333333333], [26.146842997520004, 13.784314924841]]"
179,214,279,280,"[[39.496666666667, 12.923333333333002], [39.18, 12.94], [39.356460173118, 12.655944925739998], [39.496666666667, 12.923333333333002]]"
180,147,207,113,"[[13.546666666666999, 14.073333333333002], [13.23, 14.17], [13.242761098057, 13.703310848031002], [13.546666666666999, 14.073333333333002]]"
181,252,281,253,"[[38.513333333333, 13.013333333333001], [38.18, 13.05], [38.281788737361005, 12.671626516926999], [38.513333333333, 13.013333333333001]]"
182,166,25,64,"[[3.669028516776, 4.890092399537], [3.425251080059, 5.196468039049], [3.161871823782, 4.934007253561], [3.669028516776, 4.890092399537]]"
183,282,283,251,"[[39.035658176607, 12.600549512737], [38.846666666667, 12.976666666666999], [38.600338297106, 12.535315688036], [39.035658176607, 12.600549512737]]"
